,Medal,Beer Name,Brewery,City,State,Category,Year
2427,Bronze,Capital City Kolsch,Blind Tiger Brewery & Restaurant,Topeka,KS,German-Style Kölsch,2011
2428,Gold,Stein Knocker,Hoppers Grill & Brewing Co.,Midvale,UT,German-Style Märzen,2011
2429,Silver,Munster Fest,Three Floyds Brewing Co.,Munster,IN,German-Style Märzen,2011
2430,Bronze,Samuel Adams Octoberfest,Boston Beer Co.,Boston,MA,German-Style Märzen,2011
2431,Gold,Pavlov's Pils,C.B. & Potts Restaurant & Brewery - Fort Collins,Fort Collins,CO,German-Style Pilsener,2011
2432,Silver,Sunshine Pils,Tröegs Brewing Co.,Harrisburg,PA,German-Style Pilsener,2011
2433,Bronze,Pilsner,Marble Brewery,Albuquerque,NM,German-Style Pilsener,2011
2434,Gold,TAPS Schwarzbier,TAPS Fish House & Brewery,"(Corona, CA) Brea",CA,German-Style Schwarzbier,2011
2435,Silver,Nevermore Lager,Rock Bottom Brewery,"(King of Prussia, PA) Louisville",CO,German-Style Schwarzbier,2011
2436,Bronze,Gordon Biersch Schwarzbier,Gordon Biersch Brewery Restaurant,"(Seattle, WA) Chattanooga",TN,German-Style Schwarzbier,2011
2437,Gold,Berliner Weisse,Crabtree Brewing Co.,Greeley,CO,German-Style Sour Ale,2011
2438,Silver,Hottenroth Berliner Weisse,The Bruery,Placentia,CA,German-Style Sour Ale,2011
2439,Bronze,Gordon Biersch Goze,Gordon Biersch Brewery Restaurant,"(Rockville, MD) Chattanooga",TN,German-Style Sour Ale,2011
2440,Gold,Boscos Hefeweizen,Boscos Brewing Co.,Memphis,TN,German-Style Wheat Ale,2011
2441,Silver,Weizenbock,Sierra Nevada Brewing Co.,Chico,CA,German-Style Wheat Ale,2011
2442,Bronze,Dark-n-Curvy,Piece Brewery,Chicago,IL,German-Style Wheat Ale,2011
2443,Gold,Gluten-Free Lemon Pale,Strange Brewing Co.,Denver,CO,Gluten-Free Beer,2011
2444,Silver,New Grist,Lakefront Brewery,Milwaukee,WI,Gluten-Free Beer,2011
2445,Bronze,Seeley Axe White,Kettlehouse Brewing Co.,Missoula,MT,Gluten-Free Beer,2011
2446,Gold,Blonde,Ram Restaurant & Brewery - Seattle,Seattle,WA,Golden or Blonde Ale,2011
2447,Silver,Alaskan Pale Ale,Alaskan Brewing Co.,Juneau,AK,Golden or Blonde Ale,2011
2448,Bronze,Kent Lake Kolsch,Iron Springs Pub & Brewery,Fairfax,CA,Golden or Blonde Ale,2011
2449,Gold,Mexican Chocolate Stout,Copper Kettle Brewing Co.,Denver,CO,Herb and Spice Beer,2011
2450,Silver,LSD,Minneapolis Town Hall Brewery,Minneapolis,MN,Herb and Spice Beer,2011
2451,Bronze,CBC Heather Ale,Cambridge Brewing Co.,Cambridge,MA,Herb and Spice Beer,2011
2452,Gold,Citra Double IPA,Kern River Brewing,Kernville,CA,Imperial India Pale Ale,2011
2453,Silver,Double Jack,Firestone Walker Brewing Co.,Paso Robles,CA,Imperial India Pale Ale,2011
2454,Bronze,Imperial IPA,Epic Brewing Co.,Salt Lake City,UT,Imperial India Pale Ale,2011
2455,Gold,547 Haight - The Toronado San Francisco’s 20th Anniversary Imperial Red Ale,Pizza Port Carlsbad,Carlsbad,CA,Imperial Red Ale,2011
2456,Silver,Rhino Chaser Imperial Red Ale,Pizza Port Ocean Beach,San Diego,CA,Imperial Red Ale,2011
2457,Bronze,Organic Deranger,Laurelwood Brewing Co.,Portland,OR,Imperial Red Ale,2011
2458,Gold,BORIS The Crusher Oatmeal-Imperial Stout,Hoppin' Frog Brewing Co.,Akron,OH,Imperial Stout,2011
2459,Silver,Russian Imperial Stout,Iron Hill Brewery & Restaurant,Wilmington,DE,Imperial Stout,2011
2460,Bronze,IMOS,Max Lager's Wood-Fired Grill & Brewery,Atlanta,GA,Imperial Stout,2011
2461,Gold,Hqt,21st Amendment Brewery,San Francisco,CA,Indigenous Beer,2011
2462,Silver,Monticello Reserve Ale,Starr Hill Brewery,Crozet,VA,Indigenous Beer,2011
2463,Bronze,Hot Rocks Lager,Port Brewing Co.,San Marcos,CA,Indigenous Beer,2011
2464,Gold,Boulevard Pale Ale,Boulevard Brewing Co.,Kansas City,MO,International-Style Pale Ale,2011
2465,Silver,Intercontinental Pale Ale,Flossmoor Station Brewing Co.,Flossmoor,IL,International-Style Pale Ale,2011
2466,Bronze,Radiant,Ninkasi Brewing Co.,Eugene,OR,International-Style Pale Ale,2011
2467,Gold,O'Rion Irish Red,Equinox Brewing,Fort Collins,CO,Irish-Style Red Ale,2011
2468,Silver,Copperhead Red,Ghost River Brewing,Memphis,TN,Irish-Style Red Ale,2011
2469,Bronze,Colorado Boy Irish Ale,Colorado Boy Brewing Co.,Ridgway,CO,Irish-Style Red Ale,2011
2470,Gold,Kolsch Kellerbier,Mad Fox Brewing Co.,Falls Church,VA,Kellerbier or Zwickelbier,2011
2471,Silver,Bottle Rocket Lager,Uncle Billy's Brew & Que - Lake Travis,Austin,TX,Kellerbier or Zwickelbier,2011
2472,Bronze,B3K Schwarzbier,Wynkoop Brewing Co.,Denver,CO,Kellerbier or Zwickelbier,2011
2473,Gold,Chuckanut Helles,Chuckanut Brewery,Bellingham,WA,Munich-Style Helles,2011
2474,Silver,Where in the Helles Gunner?,Emmett's Brewing Co.,West Dundee,IL,Munich-Style Helles,2011
2475,Bronze,Órale,Del Norte Brewing Co.,Denver,CO,Munich-Style Helles,2011
2476,Gold,Back Road Stout,Millstream Brewing Co.,Amana,IA,Oatmeal Stout,2011
2477,Silver,Oatmeal Stout,Crabtree Brewing Co.,Greeley,CO,Oatmeal Stout,2011
2478,Bronze,Stagecoach Stout,Figueroa Mountain Brewing Co.,Buellton,CA,Oatmeal Stout,2011
2479,Gold,Papier,The Bruery,Placentia,CA,Old Ale or Strong Ale,2011
2480,Silver,AleSmith Decadence '10 Old Ale,AleSmith Brewing Co.,San Diego,CA,Old Ale or Strong Ale,2011
2481,Bronze,Arctic Alchemy,Fegley's Brew Works,Allentown,PA,Old Ale or Strong Ale,2011
2482,Gold,DBA,Firestone Walker Brewing Co.,Paso Robles,CA,Ordinary or Special Bitter,2011
2483,Silver,New Speedway Bitter,Magnolia Gastropub and Brewery,San Francisco,CA,Ordinary or Special Bitter,2011
2484,Bronze,Bonnie Lee's Best Bitter,Magnolia Gastropub and Brewery,San Francisco,CA,Ordinary or Special Bitter,2011
2485,Gold,Wheat Wine Ale,Smuttynose Brewing Co.,Portsmouth,NH,Other Strong Beer,2011
2486,Silver,Saison du Summer,Backcountry Brewery,Frisco,CO,Other Strong Beer,2011
2487,Bronze,Totality Imperial Stout,FiftyFifty Brewing Co.,Truckee,CA,Other Strong Beer,2011
2488,Gold,Before Capone,C.B. & Potts Restaurant & Brewery - Westminster,Westminster,CO,Pro-Am Competition,2011
2489,Silver,Schwarzherz,Uinta Brewing Co.,Salt Lake City,UT,Pro-Am Competition,2011
2490,Bronze,Kriek,Dry Dock Brewing Co.,Aurora,CO,Pro-Am Competition,2011
2491,Gold,Before Capone,C.B. & Potts Restaurant & Brewery - Westminster,Westminster,CO,Proam,2011
2492,Silver,Schwarzherz,Uinta Brewing Co.,Salt Lake City,UT,Proam,2011
2493,Bronze,Kriek,Dry Dock Brewing Co.,Aurora,CO,Proam,2011
2494,Gold,Moonlight Porter,Rock Bottom Brewery,"(La Jolla, CA) Louisville",CO,Robust Porter,2011
2495,Silver,DeadEye Jack Porter,LoneRider Brewing Co.,Raleigh,NC,Robust Porter,2011
2496,Bronze,Pier Rat Porter,Pizza Port San Clemente,San Clemente,CA,Robust Porter,2011
2497,Gold,Three Flowers IPA,Marin Brewing Co.,Larkspur,CA,Rye Beer,2011
2498,Silver,Bock in Bock,Tequesta Brewing Co.,Tequesta,FL,Rye Beer,2011
2499,Bronze,Crank Tank,SweetWater Brewing Co.,Atlanta,GA,Rye Beer,2011
2500,Gold,Wee Muckle,Sun King Brewing Co.,Indianapolis,IN,Scotch Ale,2011
2501,Silver,Wee Heavy,Vintage Brewing Co.,Madison,WI,Scotch Ale,2011
2502,Bronze,Old Chub Scotch Ale,Oskar Blues Brewery,Longmont,CO,Scotch Ale,2011
2503,Gold,Hope and King Scotch Ale,Minneapolis Town Hall Brewery,Minneapolis,MN,Scottish-Style Ale,2011
2504,Silver,Naughty Scot,Rock Bottom Brewery,"(College Park - Indianapolis, IN) Louisville",CO,Scottish-Style Ale,2011
2505,Bronze,Brown Bear Brown,Rock Bottom Brewery,"(Bethesda, MD) Louisville",CO,Scottish-Style Ale,2011
2506,Gold,Provo Girl Pilsner,Utah Brewers Co-op,Salt Lake City,UT,Session Beer,2011
2507,Silver,Twerp,Pizza Port Carlsbad,Carlsbad,CA,Session Beer,2011
2508,Bronze,Firestone Walker Extra Pale Ale,Firestone Walker Brewing Co.,Paso Robles,CA,Session Beer,2011
2509,Gold,Smoke Ale,Rogue Ales,Newport,OR,Smoke Beer,2011
2510,Silver,Smoke Out,Starr Hill Brewery,Crozet,VA,Smoke Beer,2011
2511,Bronze,Alaskan Smoked Porter 2010,Alaskan Brewing Co.,Juneau,AK,Smoke Beer,2011
2512,Gold,Hefeweizen,Dry Dock Brewing Co.,Aurora,CO,South German-Style Hefeweizen,2011
2513,Silver,Wild Pitch Hefe Weizen,The SandLot,Denver,CO,South German-Style Hefeweizen,2011
2514,Bronze,EOS,Nebraska Brewing Co.,Papillion,NE,South German-Style Hefeweizen,2011
2515,Gold,Hazelnut Brown Nectar,Rogue Ales,Newport,OR,Specialty Beer,2011
2516,Silver,Chateau Jiahu,Dogfish Head Craft Brewery,Milton,DE,Specialty Beer,2011
2517,Bronze,Denver Beer Co. Graham Cracker Porter,Denver Beer Co.,Denver,CO,Specialty Beer,2011
2518,Gold,Sixteen,Weyerbacher Brewing Co.,Easton,PA,Specialty Honey Beer,2011
2519,Silver,Eye of the Storm,Minneapolis Town Hall Brewery,Minneapolis,MN,Specialty Honey Beer,2011
2520,Bronze,Midas Touch,Dogfish Head Craft Brewery,Milton,DE,Specialty Honey Beer,2011
2521,Gold,Steel Toe Stout,Ska Brewing Co.,Durango,CO,Sweet Stout,2011
2522,Silver,Cream Stout,Redwood Brewing Co.,Flint,MI,Sweet Stout,2011
2523,Bronze,Outlaw Oatmeal Stout,Great Basin Brewing Co.,Sparks,NV,Sweet Stout,2011
2524,Gold,Jomo Lager,Starr Hill Brewery,Crozet,VA,Vienna-Style Lager,2011
2525,Silver,Cityfest,Brewzzi,West Palm Beach,FL,Vienna-Style Lager,2011
2526,Bronze,Vienna Red Lager,Iron Hill Brewery & Restaurant,Wilmington,DE,Vienna-Style Lager,2011
2527,Gold,Velvet Merkin,Firestone Walker Brewing Co.,Paso Robles,CA,Wood- and Barrel-Aged Beer,2011
2528,Silver,Wee Pogue,Sun King Brewing Co.,Indianapolis,IN,Wood- and Barrel-Aged Beer,2011
2529,Bronze,Pinot Jubel,Deschutes Brewery,Bend,OR,Wood- and Barrel-Aged Beer,2011
2530,Gold,Friek,Odell Brewing Co.,Fort Collins,CO,Wood- and Barrel-Aged Sour Beer,2011
2531,Silver,The Wanderer,The Bruery,Placentia,CA,Wood- and Barrel-Aged Sour Beer,2011
2532,Bronze,Le Serpent Cerise,Snake River Brewing,Jackson,WY,Wood- and Barrel-Aged Sour Beer,2011
2533,Gold,Melange a Trois,Nebraska Brewing Co.,Papillion,NE,Wood- and Barrel-Aged Strong Beer,2011
2534,Silver,BBJ (Bourbon Barrel Johan),Sun King Brewing Co.,Indianapolis,IN,Wood- and Barrel-Aged Strong Beer,2011
2535,Bronze,Barrel Aged Naked Evil BBW,Hoppin' Frog Brewing Co.,Akron,OH,Wood- and Barrel-Aged Strong Beer,2011
2536,Gold,Bourbon Murder,Deschutes Brewery,Bend,OR,Wood- and Barrel-Aged Strong Stout,2011
2537,Silver,2010 Bourbon Barrel Sexual Chocolate Imperial Stout,Foothills Brewing,Winston-Salem,NC,Wood- and Barrel-Aged Strong Stout,2011
2538,Bronze,Grand Inquisitor,Iron Hill Brewery & Restaurant,Wilmington,DE,Wood- and Barrel-Aged Strong Stout,2011
2539,Gold,John Barleycorn Barleywine '06,Mad River Brewing Co.,Blue Lake,CA,Aged Beer,2010
2540,Silver,Cherry Baltic,Bend Brewing Co.,Bend,OR,Aged Beer,2010
2541,Bronze,"Bell's Expedition Stout, 1995","Bell's Brewery, Inc",Galesburg,MI,Aged Beer,2010
2542,Gold,Ryevalry,Bear Republic Factory Five,Cloverdale,CA,American-Belgo-Style Ale,2010
2543,Silver,Simcoe Silly,Kuhnhenn Brewing Co.,Warren,MI,American-Belgo-Style Ale,2010
2544,Bronze,Pete's Support Belgian IPA,FireHouse Grill & Brewery,Sunnyvale,CA,American-Belgo-Style Ale,2010
2545,Gold,Manana,Del Norte Brewing Co.,Denver,CO,American-Style Amber Lager,2010
2546,Silver,Schell's Oktoberfest,August Schell Brewing Co.,New Ulm,MN,American-Style Amber Lager,2010
2547,Bronze,Foothills Oktoberfest,Foothills Brewing,Winston-Salem,NC,American-Style Amber Lager,2010
2548,Gold,Red Nectar,Firestone Walker Brewing Co.,Paso Robles,CA,American-Style Amber/Red Ale,2010
2549,Silver,Hop Back Amber Ale,Tröegs Brewing Co.,Harrisburg,PA,American-Style Amber/Red Ale,2010
2550,Bronze,Red Rock,Triple Rock Brewery and Alehouse,Berkeley,CA,American-Style Amber/Red Ale,2010
2551,Gold,Sweet Josie,LoneRider Brewing Co.,Raleigh,NC,American-Style Brown Ale,2010
2552,Silver,Redrock Nut Brown Ale,Redrock Brewing Co.,Salt Lake City,UT,American-Style Brown Ale,2010
2553,Bronze,American Brown Ale,Big Rock Chop House & Brewery,Birmingham,MI,American-Style Brown Ale,2010
2554,Gold,Michelob AmberBock,Michelob Brewing Co.,St. Louis,MO,American-Style Dark Lager,2010
2555,Bronze,Schwarzbier,AC Golden Brewing Co.,Golden,CO,American-Style Dark Lager,2010
2556,Gold,Turmoil,Barley Brown's Brew Pub,Baker City,OR,American-Style India Black Ale,2010
2557,Silver,Go Figure,Big Rock Chop House & Brewery,Birmingham,MI,American-Style India Black Ale,2010
2558,Bronze,Stone Sublimely Self-Righteous Ale,Stone Brewing Co.,Escondido,CA,American-Style India Black Ale,2010
2559,Gold,"""Pseudo"" IPA",Pizza Port - San Clemente,San Clemente,CA,American-Style India Pale Ale,2010
2560,Silver,Head Hunter IPA,Fat Head's Brewery & Saloon,North Olmsted,OH,American-Style India Pale Ale,2010
2561,Bronze,Lumberyard Extra IPA,Lumberyard Brewing Co.,Flagstaff,AZ,American-Style India Pale Ale,2010
2562,Gold,Miller Lite,Miller Brewing Co.,Milwaukee,WI,American-Style Lager or Light Lager,2010
2563,Silver,Old Milwaukee,Pabst Brewing Co.,Woodridge,IL,American-Style Lager or Light Lager,2010
2564,Bronze,Miller Genuine Draft,Miller Brewing Co.,Milwaukee,WI,American-Style Lager or Light Lager,2010
2565,Gold,Gold Leaf Lager,Devils Backbone Brewing Co.,Roseland,VA,American-Style or International-Style Pilsener,2010
2566,Silver,Random Luck,SandLot (The),Denver,CO,American-Style or International-Style Pilsener,2010
2567,Bronze,Gold Country Pilsner,Auburn Alehouse,Auburn,CA,American-Style or International-Style Pilsener,2010
2568,Gold,Mission Street Pale,Firestone Walker Brewing Co.,Paso Robles,CA,American-Style Pale Ale,2010
2569,Silver,Pale 31,Firestone Walker Brewing Co.,Paso Robles,CA,American-Style Pale Ale,2010
2570,Bronze,Puddle Jumper Pale Ale,Third Street AleWorks,Santa Rosa,CA,American-Style Pale Ale,2010
2571,Gold,Brute,Ithaca Beer Co.,Ithaca,NY,American-Style Sour Ale,2010
2572,Silver,Eric's Ale,New Belgium Brewing Co.,Fort Collins,CO,American-Style Sour Ale,2010
2573,Bronze,Red Poppy,Lost Abbey (The),San Marcos,CA,American-Style Sour Ale,2010
2574,Gold,Hamm's,Miller Brewing Co.,Milwaukee,WI,American-Style Specialty Lager or Cream Ale or Lager,2010
2575,Silver,Rainier,Pabst Brewing Co.,Woodridge,IL,American-Style Specialty Lager or Cream Ale or Lager,2010
2576,Bronze,Old Style,Pabst Brewing Co.,Woodridge,IL,American-Style Specialty Lager or Cream Ale or Lager,2010
2577,Gold,Liberty Stout,Gella's Diner and Lb. Brewing Co.,Hays,KS,American-Style Stout,2010
2578,Silver,Disorder Stout,Barley Brown's Brew Pub,Baker City,OR,American-Style Stout,2010
2579,Bronze,Shakespeare Oatmeal Stout,Rogue Ales,Newport,OR,American-Style Stout,2010
2580,Gold,Himalayan IPA,Yak and Yeti Brewpub,Arvada,CO,American-Style Strong Pale Ale,2010
2581,Silver,IPA Nectar,Firestone Walker Brewing Co.,Paso Robles,CA,American-Style Strong Pale Ale,2010
2582,Bronze,7 - Fity,Triple Rock Brewery and Alehouse,Berkeley,CA,American-Style Strong Pale Ale,2010
2583,Gold,Sandy Bottom,Blue Mountain Brewery,Afton,VA,American-Style Wheat Beer,2010
2584,Silver,Shredders Wheat,Barley Brown's Brew Pub,Baker City,OR,American-Style Wheat Beer,2010
2585,Bronze,County Seat Wheat,Blind Tiger Brewery & Restaurant,Topeka,KS,American-Style Wheat Beer,2010
2586,Gold,Point Horizon Wheat,Stevens Point Brewery,Stevens Point,WI,American-Style Wheat Beer With Yeast,2010
2587,Silver,American Hefeweizen,Flat Branch Pub and Brewery,Columbia,MO,American-Style Wheat Beer With Yeast,2010
2588,Bronze,Hefeweizen,Widmer Brothers Brewing Co.,Portland,OR,American-Style Wheat Beer With Yeast,2010
2589,Gold,3 Dog Night,Chama River Brewing Co.,Albuquerque,NM,Baltic-Style Porter,2010
2590,Silver,Collaborative Evil - Triple Rock,Triple Rock Brewery and Alehouse,Berkeley,CA,Baltic-Style Porter,2010
2591,Bronze,Reverend Potter's Baltic Porter,Prodigal Brewery (The),Effingham,NH,Baltic-Style Porter,2010
2592,Gold,Flying Mouflan,Tröegs Brewing Co.,Harrisburg,PA,Barley Wine-Style Ale,2010
2593,Silver,Old #23 Barley Wine,Bristol Brewing Co.,Colorado Springs,CO,Barley Wine-Style Ale,2010
2594,Bronze,Jack Hammer,Brew Kettle Production Works (The),Strongsville,OH,Barley Wine-Style Ale,2010
2595,Gold,Allagash Blonde,Allagash Brewing Co.,Portland,ME,Belgian- and French-Style Ale,2010
2596,Silver,Bastogne Blonde Ale,Rock Bottom Breweries,Louisville,CO,Belgian- and French-Style Ale,2010
2597,Bronze,Domaine DuPage,Two Brothers Brewing Co.,Warrenville,IL,Belgian- and French-Style Ale,2010
2598,Gold,Nectar Des Dieux,Bastone Brewery,Royal Oak,MI,Belgian-Style Abbey Ale,2010
2599,Silver,Golden Slumber,Sun King Brewing Co.,Indianapolis,IN,Belgian-Style Abbey Ale,2010
2600,Bronze,Three Philosophers,Brewery Ommegang,Cooperstown,NY,Belgian-Style Abbey Ale,2010
2601,Gold,Oude Tart,Bruery (The),Placentia,CA,Belgian-Style Lambic or Sour Ale,2010
2602,Silver,Coolship Resurgam,Allagash Brewing Co.,Portland,ME,Belgian-Style Lambic or Sour Ale,2010
2603,Bronze,Le Serpent,Snake River Brewing Co.,Jackson,WY,Belgian-Style Lambic or Sour Ale,2010
2604,Gold,Revelations,Pizza Port - Carlsbad,Carlsbad,CA,Belgian-Style Strong Specialty Ale,2010
2605,Silver,Brother Davids Double,Anderson Valley Brewing Co.,Boonville,CA,Belgian-Style Strong Specialty Ale,2010
2606,Bronze,Hells Keep,Utah Brewers Cooperative,Salt Lake City,UT,Belgian-Style Strong Specialty Ale,2010
2607,Gold,TAPS Belgian White,TAPS Fish House & Brewery,Brea,CA,Belgian-Style Witbier,2010
2608,Silver,Whale Tail Wit,Dry Dock Brewing Co.,Aurora,CO,Belgian-Style Witbier,2010
2609,Bronze,Allagash White,Allagash Brewing Co.,Portland,ME,Belgian-Style Witbier,2010
2610,Gold,Hellats Good Beer,Pug Ryan's Brewery,Dillon,CO,Bock,2010
2611,Silver,Troegenator,Tröegs Brewing Co.,Harrisburg,PA,Bock,2010
2612,Bronze,Maibock,Ram Restaurant & Brewery - Salem,Salem,OR,Bock,2010
2613,Gold,Boathouse Pilsner,Titletown Brewing Co.,Green Bay,WI,Bohemian-Style Pilsener,2010
2614,Silver,Golden Pilsner,Morgan Street Brewery,St. Louis,MO,Bohemian-Style Pilsener,2010
2615,Bronze,Bridge Creek Pilsner,Silver Moon Brewing,Bend,OR,Bohemian-Style Pilsener,2010
2616,Gold,Total Disorder Porter,Ram Production Brewery,Tacoma,WA,Brown Porter,2010
2617,Silver,St. Charles Porter,Blackstone Brewing Co.,Nashville,TN,Brown Porter,2010
2618,Bronze,Pullman Brown,Flossmoor Station Brewing Co.,Flossmoor,IL,Brown Porter,2010
2619,Gold,Mirror Pond Pale Ale,Deschutes Brewery,Bend,OR,Classic English-Style Pale Ale,2010
2620,Silver,Summit Extra Pale Ale,Summit Brewing Co.,Saint Paul,MN,Classic English-Style Pale Ale,2010
2621,Bronze,Ska Special,Ska Brewing Co.,Durango,CO,Classic English-Style Pale Ale,2010
2622,Gold,Hyde Park Stout,Augusta Brewing Co.,Washington,MO,Classic Irish-Style Dry Stout,2010
2623,Silver,McLuhr's Irish Stout,Dillon DAM Brewery,Dillon,CO,Classic Irish-Style Dry Stout,2010
2624,Bronze,Port Truck Stout,Pizza Port - Carlsbad,Carlsbad,CA,Classic Irish-Style Dry Stout,2010
2625,Gold,Baltic Coffee,Devils Backbone Brewing Co.,Roseland,VA,Coffee Flavored Beer,2010
2626,Silver,Coffee Monster,Pizza Port - Carlsbad,Carlsbad,CA,Coffee Flavored Beer,2010
2627,Bronze,Big Shot Espresso Stout,Twisted Pine Brewing Co.,Boulder,CO,Coffee Flavored Beer,2010
2628,Gold,Summerbrau,Utah Brewers Cooperative,Salt Lake City,UT,Dortmunder or German-Style Oktoberfest,2010
2629,Silver,Noble Stuff Export,Dry Dock Brewing Co.,Aurora,CO,Dortmunder or German-Style Oktoberfest,2010
2630,Bronze,Rolling Thunder Dortmunder,Snake River Brewing Co.,Jackson,WY,Dortmunder or German-Style Oktoberfest,2010
2631,Gold,Old Elk Brown Ale,Rock Bottom Breweries,Louisville,CO,English-Style Brown Ale,2010
2632,Silver,Good Grief Brown,Pizza Port - Carlsbad,Carlsbad,CA,English-Style Brown Ale,2010
2633,Bronze,Eclipse Brown Ale,Equinox Brewing Co.,Fort Collins,CO,English-Style Brown Ale,2010
2634,Gold,Beech Street Bitter,Pizza Port - Carlsbad,Carlsbad,CA,English-Style India Pale Ale,2010
2635,Silver,Illusion Dweller,Mountain Sun Pub and Brewery,Boulder,CO,English-Style India Pale Ale,2010
2636,Bronze,Samuel Adams Latitude 48,Boston Beer Co.,Boston,MA,English-Style India Pale Ale,2010
2637,Gold,Business Time Mild,Boulder Beer Co.,Boulder,CO,English-Style Mild Ale,2010
2638,Silver,Skidmark Brown,Pizza Port - Ocean Beach,San Diego,CA,English-Style Mild Ale,2010
2639,Bronze,Ale of Fergus,Devils Backbone Brewing Co.,Roseland,VA,English-Style Mild Ale,2010
2640,Gold,312  Urban Wheat Ale,Goose Island Beer Co.,Chicago,IL,English-Style Summer Ale,2010
2641,Silver,Pacific Daylight,Dale Bros. Brewery,Upland,CA,English-Style Summer Ale,2010
2642,Bronze,Sandbagger Gold,Montana Brewing Co.,Billings,MT,English-Style Summer Ale,2010
2643,Gold,Dunkel,AC Golden Brewing Co.,Golden,CO,European-Style Dunkel,2010
2644,Silver,Dunkel Lager,Triumph Brewing Co. of Philadelphia,Philadelphia,PA,European-Style Dunkel,2010
2645,Bronze,Dark Side Lager,C.B. Potts Restaurant & Brewery (Fort Collins),Fort Collins,CO,European-Style Dunkel,2010
2646,Gold,Key Lime Pie,Short's Brewing Co.,Bellaire,MI,Experimental Beer,2010
2647,Silver,Estate Homegrown Ale,Sierra Nevada Brewing Co.,Chico,CA,Experimental Beer,2010
2648,Bronze,Wild Lemon Wheat,Great Basin Brewing Co.,Sparks,NV,Experimental Beer,2010
2649,Gold,GAR Pale Ale,Great American Restaurants,Centreville,VA,Extra Special Bitter or Strong Bitter,2010
2650,Silver,Saint Arnold Elissa IPA,Saint Arnold Brewing Co.,Houston,TX,Extra Special Bitter or Strong Bitter,2010
2651,Bronze,Bachelor ESB,Deschutes Brewery,Bend,OR,Extra Special Bitter or Strong Bitter,2010
2652,Gold,Frog's Hollow Double Pumpkin Ale,Hoppin' Frog Brewing Co.,Akron,OH,Field Beer,2010
2653,Silver,Dark o' the Moon,Elysian Brewing Co.,Seattle,WA,Field Beer,2010
2654,Bronze,Imperial Pumpkin Ale,Weyerbacher Brewing Co.,Easton,PA,Field Beer,2010
2655,Gold,Fade to Black,Left Hand Brewing Co.,Longmont,CO,Foreign-Style Stout,2010
2656,Silver,Whiteface Stout,Great Adirondack Brewing Co.,Lake Placid,NY,Foreign-Style Stout,2010
2657,Bronze,Tsunami Stout,Pelican Pub & Brewery,Pacific City,OR,Foreign-Style Stout,2010
2658,Gold,Saison Vautour,McKenzie Brew House,Malvern,PA,French- and Belgian-Style Saison,2010
2659,Silver,Colette,Great Divide Brewing Co.,Denver,CO,French- and Belgian-Style Saison,2010
2660,Bronze,Belgian Summer Ale,Great Adirondack Brewing Co.,Lake Placid,NY,French- and Belgian-Style Saison,2010
2661,Gold,Chardonnay Blonde,Blue Moon Brewing Co.,Denver,CO,Fruit Beer,2010
2662,Silver,Apricot Ale,Pyramid Breweries Inc,Seattle,WA,Fruit Beer,2010
2663,Bronze,Raspberry Tart,New Glarus Brewing Co.,New Glarus,WI,Fruit Beer,2010
2664,Gold,GestAlt,Haverhill Brewery,Haverhill,MA,German-Style Altbier,2010
2665,Silver,Bismarck Altbier,Dry Dock Brewing Co.,Aurora,CO,German-Style Altbier,2010
2666,Bronze,Sticke Alt,Rock Bottom Breweries,Louisville,CO,German-Style Altbier,2010
2667,Gold,Carbonator,Glenwood Canyon Brewing Co.,Glenwood Springs,CO,German-Style Doppelbock or Eisbock,2010
2668,Silver,Gordon Biersch Eisbock,Gordon Biersch Brewery Restaurants,Chattanooga,TN,German-Style Doppelbock or Eisbock,2010
2669,Bronze,Dominator Dopplebock,Sun King Brewing Co.,Indianapolis,IN,German-Style Doppelbock or Eisbock,2010
2670,Gold,Saint Arnold Fancy Lawnmower Beer,Saint Arnold Brewing Co.,Houston,TX,German-Style Kölsch,2010
2671,Silver,Colorado Kolsch,Steamworks Brewing Co.,Durango,CO,German-Style Kölsch,2010
2672,Bronze,Kolsch 151,Blue Mountain Brewery,Afton,VA,German-Style Kölsch,2010
2673,Gold,Flor Hosen,SandLot (The),Denver,CO,German-Style Märzen,2010
2674,Silver,Oh! Fest!,Morgan Territory Brewing,Antioch,CA,German-Style Märzen,2010
2675,Bronze,Munsterfest,Three Floyds Brewing Co. LLC,Munster,IN,German-Style Märzen,2010
2676,Gold,Trumer Pils,Trumer Brauerei Berkeley,San Antonio,TX,German-Style Pilsener,2010
2677,Silver,German Pilsner,AC Golden Brewing Co.,Golden,CO,German-Style Pilsener,2010
2678,Bronze,Chuckanut Pilsner,Chuckanut Brewery,Bellingham,WA,German-Style Pilsener,2010
2679,Gold,Redrock Black Bier,Redrock Brewing Co.,Salt Lake City,UT,German-Style Schwarzbier,2010
2680,Silver,Annie Schwarz,Haverhill Brewery,Haverhill,MA,German-Style Schwarzbier,2010
2681,Bronze,TAPS Schwarzbier,TAPS Fish House & Brewery,Brea,CA,German-Style Schwarzbier,2010
2682,Gold,Berliner Weisse,Snake River Brewing Co.,Jackson,WY,German-Style Sour Ale,2010
2683,Silver,Tiny Bubbles,Hollister Brewing Co.,Goleta,CA,German-Style Sour Ale,2010
2684,Bronze,Beer Gone Good,Terrapin Beer Co.,Athens,GA,German-Style Sour Ale,2010
