,Medal,Beer Name,Brewery,City,State,Category,Year
131,Silver,Shanghai'd IPA,Old Town Brewing,Portland,OR,English-Style India Pale Ale,2019
132,Bronze,Hoppy Poppy,Figueroa Mountain Brewing Co. - Santa Barbara,Santa Barbara,CA,English-Style India Pale Ale,2019
133,Gold,Hold The Reins,Brink Brewing Co.,Cincinnati,OH,English-Style Mild Ale,2019
134,Silver,Sliding Rock,BearWaters Brewing Co.,Canton,NC,English-Style Mild Ale,2019
135,Bronze,Saddle Bronc Brown,Black Tooth Brewing Co.,Sheridan,WY,English-Style Mild Ale,2019
136,Gold,Ferment Pale Ale,Ferment Brewing Co.,Hood River,OR,English-Style or International-Style Pale Ale,2019
137,Silver,Annadel Pale Ale,Third Street AleWorks,Santa Rosa,CA,English-Style or International-Style Pale Ale,2019
138,Bronze,Endless Summer Nights,Cloudburst Brewing,Seattle,WA,English-Style or International-Style Pale Ale,2019
139,Gold,Organic California Blonde Ale,Eel River Brewing Co.,Scotia,CA,English-Style Summer Ale,2019
140,Silver,Quid,Rhinegeist - Innovation Brewery,Cincinnati,OH,English-Style Summer Ale,2019
141,Bronze,Breakside Wentworth by the Sea,Breakside Brewery,Portland,OR,English-Style Summer Ale,2019
142,Gold,Fungus Shui,Meadowlark Brewing,Sidney,MT,Experimental Beer,2019
143,Silver,Shibbleshabble,Primitive Beer,Longmont,CO,Experimental Beer,2019
144,Bronze,Fluffernutter,Kings Brewing Co.,Rancho Cucamonga,CA,Experimental Beer,2019
145,Gold,Correspondent,Wander Brewing,Bellingham,WA,Export Stout,2019
146,Silver,Thor's Shadow Imperial Stout,Odin Brewing Co.,Tukwila,WA,Export Stout,2019
147,Bronze,Void of Light,Gun Hill Brewing Co.,Bronx,NY,Export Stout,2019
148,Gold,ESB,Hillman Beer,Asheville,NC,Extra Special Bitter,2019
149,Silver,Bridgeview,Henderson Brewing Co.,Henderson,KY,Extra Special Bitter,2019
150,Bronze,Red Ale,The Vanguard Brewpub & Distillery,Hampton,VA,Extra Special Bitter,2019
151,Gold,Scoring Discrepancies,Listermann Brewing Co.,Cincinnati,OH,Field Beer,2019
152,Silver,Dessert Station: Cherry Almond Cookie,Corporate Ladder Brewing Co.,Palmetto,FL,Field Beer,2019
153,Bronze,Grandma's Pecan,The Dudes' Brewing Co.,Torrance,CA,Field Beer,2019
154,Gold,Fresh Hop Green Battles,Pinthouse Pizza North,Austin,TX,Fresh Hop Beer,2019
155,Silver,Hop Stalker,Fat Head's Brewery - Canton,Canton,OH,Fresh Hop Beer,2019
156,Bronze,Aqua Seafoam Shame,Cloudburst Brewing,Seattle,WA,Fresh Hop Beer,2019
157,Gold,Bitchin' Berry,Great Basin Brewing Co. - Production Facility,Reno,NV,Fruit Wheat Beer,2019
158,Silver,Cherry Wheat,Sierra Blanca Brewing Co.,Moriarty,NM,Fruit Wheat Beer,2019
159,Bronze,Smash,10 Barrel Brewing Co.,Bend,OR,Fruit Wheat Beer,2019
160,Gold,Roxanne,St. Elmo Brewing Co.,Austin,TX,Fruited American-Style Sour Ale,2019
161,Silver,Hoochie Mama,Storm Peak Brewing Co.,Steamboat Springs,CO,Fruited American-Style Sour Ale,2019
162,Bronze,Sour Blackberry Raspberry,Edmund’s Oast Brewing Co.,Charleston,SC,Fruited American-Style Sour Ale,2019
163,Gold,Midnight Choir,Sun King Brewing,Indianapolis,IN,Fruited Wood- and Barrel-Aged Sour Beer,2019
164,Silver,Crimson Cherry Variant,Upland Brewing Co. - Bloomington Brewpub,Bloomington,IN,Fruited Wood- and Barrel-Aged Sour Beer,2019
165,Bronze,Rossano,Kings Brewing Co.,Rancho Cucamonga,CA,Fruited Wood- and Barrel-Aged Sour Beer,2019
166,Gold,Rhine Heights ALT,Vintage Brewing Co. - Madison,Madison,WI,German-Style Altbier,2019
167,Silver,Howitzer Amber,Red Leg Brewing Co.,Colorado Springs,CO,German-Style Altbier,2019
168,Bronze,Jeremy Altbier,The Royal Oak Brewery,Royal Oak,MI,German-Style Altbier,2019
169,Gold,Pious Monk Dunkel,Church Brew Works - Lawrenceville Brewery,Pittsburgh,PA,German-Style Dark Lager,2019
170,Silver,Black Lager,Bingo Beer Co.,Richmond,VA,German-Style Dark Lager,2019
171,Bronze,Don't Drop That Dun Dun Dunkel,TAPS Brewery & Barrel Room,Tustin,CA,German-Style Dark Lager,2019
172,Gold,Eis Nine,Sun King Brewing - Fishers Small Batch,Fishers,IN,German-Style Doppelbock or Eisbock,2019
173,Silver,Doppelbock,Scorched Earth Brewing Co.,Algonquin,IL,German-Style Doppelbock or Eisbock,2019
174,Bronze,Eis Vienne,Devils Backbone Brewing Co. - Basecamp,Roseland,VA,German-Style Doppelbock or Eisbock,2019
175,Gold,Altstadt Kolsch,Altstadt Brewery,Fredericksburg,TX,German-Style Koelsch,2019
176,Silver,Ice Cutter Kölsch,Joyride Brewing Co.,Edgewater,CO,German-Style Koelsch,2019
177,Bronze,Dry Creek Blonde Ale,Santa Clara Valley Brewing,San Jose,CA,German-Style Koelsch,2019
178,Gold,Oktoberfest,Bear Chase Brewing Co.,Bluemont,VA,German-Style Maerzen,2019
179,Silver,Rocktoberfest,Hutton & Smith Brewing Co.,Chattanooga,TN,German-Style Maerzen,2019
180,Bronze,Festie,Starr Hill Pilot Brewery & Side Stage,Roanoke,VA,German-Style Maerzen,2019
181,Gold,Parliament Drive,Blind Owl Brewery,Indianapolis,IN,German-Style Pilsener,2019
182,Silver,Golden Age Pilsner,Family Business Beer Co.,Dripping Springs,TX,German-Style Pilsener,2019
